"","team","experience","salary","points3","points2","points","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls","efficiency"
"1","ATL",175,93.405591,660,2337,8107,832,2676,1846,645,381,1201,1432,281.18677339919
"2","BOS",185,91.915088,985,2183,8857,744,2698,2069,617,340,1037,1686,264.956692362648
"3","BRK",248,76.215674,777,2040,7855,689,2697,1664,568,382,1212,1620,312.146707638519
"4","CHI",144,91.202251,565,2034,7033,741,2231,1706,580,322,923,1165,256.614994460878
"5","CHO",156,88.365835,808,2088,8097,619,2614,1805,543,316,819,1175,259.069587363521
"6","CLE",129,126.799488,1030,2144,8760,728,2666,1778,482,297,1016,1346,296.703119967108
"7","DAL",213,88.411841,712,1677,6463,474,1958,1163,485,233,651,1173,256.297882450241
"8","DEN",189,73.878222,868,2348,8776,870,2658,2012,542,284,1101,1469,294.358255249801
"9","DET",154,89.574487,631,2423,7753,751,2532,1691,551,259,872,1276,239.044152175738
"10","GSW",144,97.519346,982,2532,9454,749,2840,2476,778,547,1165,1550,279.731673249311
"11","HOU",129,85.552621,1140,1644,8233,677,2252,1903,580,251,1022,1288,259.773340715315
"12","IND",171,91.568495,709,2493,8559,716,2672,1840,666,403,1079,1560,266.599522294767
"13","LAC",139,112.959229,841,2396,8897,736,2783,1847,610,345,1019,1621,252.096100889354
"14","LAL",181,85.12544,582,2069,6905,789,2213,1334,510,267,972,1444,249.807259318793
"15","MEM",198,107.576613,757,2152,8054,860,2542,1723,626,318,985,1758,275.7385804047
"16","MIA",154,50.827626,799,1807,7003,563,1853,1671,522,303,865,1421,252.935910173511
"17","MIL",206,90.307009,719,2431,8410,700,2553,1966,654,426,1074,1610,281.458166707605
"18","MIN",111,47.687162,599,2556,8472,873,2403,1898,613,345,1064,1526,242.286293206304
"19","NOP",176,80.58751,517,1886,6413,508,2082,1512,493,363,805,1097,275.445456506268
"20","NYK",214,96.563446,636,2429,8020,939,2564,1489,522,447,963,1561,264.158451198968
"21","OKC",197,86.981364,611,2380,8104,936,2628,1610,595,395,1133,1561,270.392459910563
"22","ORL",162,84.656409,597,1973,6841,529,1983,1658,507,207,874,1186,223.382700159045
"23","PHI",199,51.446845,716,1715,6697,607,2192,1756,593,326,1102,1449,301.159775539689
"24","PHO",185,60.867578,569,2401,8033,729,2078,1501,555,361,1106,1761,264.363717641585
"25","POR",147,95.822096,847,2073,8023,610,2280,1482,507,320,941,1444,247.342770207815
"26","SAC",221,88.194223,558,1838,6348,524,1874,1393,504,232,847,1302,273.641391144987
"27","SAS",160,100.282062,753,2050,7649,535,2095,1783,585,377,910,1182,230.076221339114
"28","TOR",159,104.164869,624,2288,7987,764,2443,1453,601,358,901,1492,271.368322427018
"29","UTA",156,80.323193,791,2242,8258,771,2774,1651,550,410,1060,1545,263.311194120271
"30","WAS",149,82.563335,718,2449,8376,754,2441,1871,619,301,1024,1536,241.819187481617
